PENGHASIL DATA,IKU PEMERINTAH DAERAH,NAMA DATA,PERIODE DATA,JADWAL RILIS,SATUAN,KLASIFIKASI
Badan Kepegawaian Daerah,Persentase pencegahan pengguna narkotika bagi ASN Pemerintah Provinsi Jawa Barat,Jumlah ASN di Provinsi Jawa Barat,Tahunan,Desember n,orang,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Indeks Akses terhadap Keadilan,*,Tahunan,***,poin,***
Badan Kesatuan Bangsa dan Politik,Persentase Kerjasama Lembaga antar umat beragama,*,Tahunan,Desember n,persen,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase Kerjasama Lembaga antar umat beragama,Jumlah Ormas bidang keagamaan yang melakukan kerjasama,Tahunan,Desember n,ormas,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase Kerjasama Lembaga antar umat beragama,Jumlah Ormas bidang keagamaan yang terdaftar di Provinsi Jawa Barat,Tahunan,Desember n,ormas,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase konflik sosial yang ditangani,*,Tahunan,Desember n,persen,"Jenis Konflik, Kabupaten/Kota"
Badan Kesatuan Bangsa dan Politik,Persentase konflik sosial yang ditangani,Jumlah konflik sosial yang ditangani tahun n,Tahunan,Desember n,kasus,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase konflik sosial yang ditangani,Jumlah konflik sosial yang ditangani tahun n-1,Tahunan,Desember n,kasus,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase Organisasi kemasyarakatan yang aktif,*,Tahunan,Desember n,persen,"Bidang Ormas, Kabupaten/Kota"
Badan Kesatuan Bangsa dan Politik,Persentase Organisasi kemasyarakatan yang aktif,Jumlah Ormas Aktif,Tahunan,Desember n,ormas,"Bidang Ormas, Kabupaten/Kota"
Badan Kesatuan Bangsa dan Politik,Persentase Organisasi kemasyarakatan yang aktif,Jumlah Ormas belum di verifikasi,Tahunan,Desember n,ormas,"Bidang Ormas, Kabupaten/Kota"
Badan Kesatuan Bangsa dan Politik,Persentase Organisasi kemasyarakatan yang aktif,Jumlah Ormas Terdaftar,Tahunan,Desember n,ormas,"Bidang Ormas, Kabupaten/Kota"
Badan Kesatuan Bangsa dan Politik,Persentase pembinaan ideologi Pancasila dan wawasan kebangsaan,*,Tahunan,Desember n,persen,"Jenis Kelamin, Profesi"
Badan Kesatuan Bangsa dan Politik,Persentase pembinaan ideologi Pancasila dan wawasan kebangsaan,Jumlah ASN dan Pelajar SMA Provinsi Jawa yang akan dibina tentang peningkatan pemahaman tentang ideologi pancasila,Tahunan,Desember n,orang,Kabupaten/Kota; Jenis Kelamin
Badan Kesatuan Bangsa dan Politik,Persentase pembinaan ideologi Pancasila dan wawasan kebangsaan,Jumlah Jumlah Total ASN dan Pelajar SMA di Jawa Barat,Tahunan,Desember n,orang,Kabupaten/Kota; Jenis Kelamin
Badan Kesatuan Bangsa dan Politik,Persentase pembinaan ketahanan ekonomi,*,Tahunan,Desember n,persen,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase pembinaan ketahanan ekonomi,Jumlah Masyarakat yang mendapat pembinaan ketahanan ekonomi,Tahunan,Desember n,orang,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase pencegahan pengguna narkotika bagi ASN Pemerintah Provinsi Jawa Barat,*,Tahunan,Desember n,persen,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase pencegahan pengguna narkotika bagi ASN Pemerintah Provinsi Jawa Barat,Jumlah ASN yang mendapatkan Sosialisasi,Tahunan,Desember n,orang,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase peserta (pemilih) yang mengikuti pendidikan politik,*,Tahunan,Desember n,persen,Provinsi
Badan Kesatuan Bangsa dan Politik,Persentase peserta (pemilih) yang mengikuti pendidikan politik,Jumlah Pemilih yang mendapatkan Pendidikan Politik,Tahunan,Desember n,orang,Kabupaten/Kota
Badan Kesatuan Bangsa dan Politik,Persentase peserta (pemilih) yang mengikuti pendidikan politik,Jumlah Total Pemilih di Jawa Barat,Tahunan,Desember n,orang,Kabupaten/Kota
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,*,Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah bangunan yang menerapkan bangunan tahan gempa bumi,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Desa Tangguh Bencana,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah dokumen Rencana Evakuasi Bencana Tsunami,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah dokumen Rencana kontijensi banjir,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah dokumen Rencana kontijensi banjir bandang,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah dokumen Rencana kontijensi erupsi gunung api,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah dokumen Rencana Kontijensi karlahut,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah dokumen Rencana kontijensi kekeringan,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah dokumen Rencana kontijensi tanah longsor,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Dokumen Rencana Penanggulangan Bencana Daerah,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah dokumen rencana Rencana Kontijensi Gempa bumi,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Forum Pengurangan Risiko Bencana (PRB),Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah infrastruktur penting yang dipulihkan,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Kajian kebutuhan peralatan dan logistik kebencanaan,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah kegiatan Konservasi vegetatif DAS rawan longsor,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah kegiatan optimalisasi pemanfaatan air permukaan,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah kegiatan Pemulihan Penghidupan masyarakat,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah kegiatan penguatan lereng,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,"Jumlah kegiatan Revitalisasi tanggul, embung, waduk dan taman kota",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah lahan gambut yang direstorasi,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Pelatihan dan sertifikasi penggunaan peralatan PB,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Pemantauan berkala hulu sungai,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Penyelenggaraan Latihan (geladi) Kesiapsiagaan,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Penyimpanan/pergudang Logistik PB,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Peraturan Daerah tentang Pembentukan BPBD,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Peraturan Daerah tentang Penyelenggaraan PB,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Peraturan Daerah tentang RPB,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Peraturan Daerah tentang Tataruang Berbasis PRB,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Peraturan tentang pembentukan Forum PRB,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Peraturan tentang penyebaran informasi kebencanaan,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Pusdalops PB dengan fasilitas minimal mampu memberikan respon efektif untuk pelaksanaan peringatan dini dan penanganan masa krisis,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah RSAB dan Puskesmas Aman Bencana,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah rumah penduduk yang diperbaiki,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sarana penyampaian informasi kebencanaan yang menjangkau langsung masyarakat,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sekolah/Madrasah Aman Bencana (SMAB),Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sistem peringatan dini bencana banjir,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sistem peringatan dini bencana banjir bandang,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sistem peringatan dini bencana erupsi gunung api,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sistem peringatan dini bencana karlahut,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sistem peringatan dini bencana kekeringan,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sistem peringatan dini bencana tanah longsor,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sistem Peringatan Dini Bencana Tsunami,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Sosialisasi pencegahan dan kesiapsiagaan bencana pada tiap-tiap kecamatan di wilayahnya,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah sumur yang menerapkan resapan dan/atau biopori,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah sungai direstorasi,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Jumlah Tanaman dan/atau bangunan penahan gelombang tsunami,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Nilai indeks Penanganan tematik kawasan rawan bencana,Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,"Nilai indeks Pengembangan sistem informasi, diklat dan logistik",Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Nilai indeks Pengembangan sistem pemulihan bencana,Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Nilai indeks Pengkajian resiko dan perencaan terpadu,Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Nilai indeks Penguatan kebijakan dan kelembagaan,Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,"Nilai indeks Peningkatan efektivitas, pencegahan dan mitigasi bencana",Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Nilai indeks Perkuatan kesiapsiagaan dan penanganan darurat bencana,Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Peta Bahaya dan kajiannya untuk seluruh bahaya yang ada di daerah,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Peta Kapasitas dan kajiannya,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Ketahanan Daerah,Peta Kerentanan dan kajiannya untuk seluruh bahaya yang ada di daerah,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,*,Tahunan,Maret n+1,poin,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,*,Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Buffer Sesar Lembang Koridor 250m,Apabila Dibutuhkan,Maret n+1,*,Area/Polygon
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Delineasi Indeks Risiko Abrasi,Lima Tahunan,Maret n+1,*,Area/Polygon
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Delineasi Indeks Risiko Banjir,Lima Tahunan,Maret n+1,*,Area/Polygon
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Delineasi Indeks Risiko Banjir Bandang,Lima Tahunan,Maret n+1,*,Area/Polygon
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Delineasi Indeks Risiko Kebakaran Hutan dan Lahan,Lima Tahunan,Maret n+1,*,Area/Polygon
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Delineasi Indeks Risiko Kekeringan,Lima Tahunan,Maret n+1,*,Area/Polygon
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Delineasi Indeks Risiko Longsor,Lima Tahunan,Maret n+1,*,Area/Polygon
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Delineasi Indeks Risiko Tsunami,Lima Tahunan,Maret n+1,*,Area/Polygon
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Indeks Ketahanan Daerah Berdasarkan Kab/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Dokumen Kaji Cepat Bencana Provinsi**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Dokumen Kajian Risiko Bencana Provinsi yang Telah Dimutakhirkan**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Dokumen Pendampingan Kaji Cepat Bencana menurut Kab/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Dokumen Rencana Kontijensi Provinsi yang Telah Dimutakhirkan**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Dokumen Rencana Penanggulangan Bencana Provinsi yang Telah Dimutakhirkan**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Dukungan Penyediaan Logistik Penyelamatan Dan Evakuasi Korban Bencana Menurut Kab/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Dukungan Peralatan Kebencanaan Penyelamatan Dan Evakuasi Korban Bencana Menurut Kab/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Dukungan SDM Penyelamatan Dan Evakuasi Korban Bencana Menurut Kab/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Fasilitasi Dokumen Kajian Risiko Bencana Kab/Kota yang Telah Dimutakhirkan**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Fasilitasi Dokumen Rencana Penanggulangan Bencana Kab/Kota yang Telah Dimutakhirkan**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Kab/Kota yang indeks ketahanan daerahnya meningkat**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Kab/Kota yang terfasilitasi dalam penanganan pasca bencana**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Kab/Kota yang Terfasilitasi dalam Penanganan Pra Bencana**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Kab/Kota yang terfasilitasi dalam penanganan tanggap darurat bencana**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Kab/Kota yang Terfasilitasi dalam Tanggap Darurat Bencana**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Kawasan Rawan Bencana Berdasarkan Kab/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah Kegiatan Pencarian, Pertolongan Dan Evakuasi Korban Bencana Provinsi**",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah Kegiatan Pendampingan Pencarian, Pertolongan Dan Evakuasi Korban Bencana Menurut Kab/Kota**",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Kegiatan Penyediaan Peralatan Kebencanaan Penyelamatan Dan Evakuasi Korban Bencana Provinsi**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Kegiatan Penyediaan SDM Penyelamatan Dan Evakuasi Korban Bencana Provinsi**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah KK yang Mengungsi Akibat Bencana Banjir Berdasarkan Usia, Jenis Kelamin dan Kab/Kota **",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah KK yang Mengungsi Akibat Bencana Gempa Bumi Berdasarkan Usia, Jenis Kelamin dan Kab/Kota **",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah KK yang Mengungsi Akibat Bencana Gunung Meletus Berdasarkan Usia, Jenis Kelamin dan Kab/Kota**",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah KK yang Mengungsi Akibat Bencana Longsor Berdasarkan Usia, Jenis Kelamin dan Kab/Kota **",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah KK yang Mengungsi Akibat Bencana Tsunami Berdasarkan Usia, Jenis Kelamin dan Kab/Kota**",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah Korban Bencana Berdasarkan Usia, Jenis Kelamin dan Kab/Kota **",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Pelaksanaan Monitoring dan Evaluasi dalam Perencanaan Pemenuhan SPM Sub urusan Bencana Daerah Kabupaten/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Pelaksanaan Pelatihan Pencegahan dan Mitigasi Bencana Provinsi dan Kabupaten/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Pendampingan Respon Cepat Penanganan Darurat Bencana Menurut Kab/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah Pengungsi Akibat Bencana Banjir Berdasarkan Usia, Jenis Kelamin dan Kab/Kota **",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah Pengungsi Akibat Bencana Berdasarkan Usia, Jenis Kelamin dan Kab/Kota **",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah Pengungsi Akibat Bencana Gempa Bumi Berdasarkan Usia, Jenis Kelamin dan Kab/Kota **",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah Pengungsi Akibat Bencana Gunung Meletus Berdasarkan Usia, Jenis Kelamin dan Kab/Kota**",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah Pengungsi Akibat Bencana Longsor Berdasarkan Usia, Jenis Kelamin dan Kab/Kota **",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,"Jumlah Pengungsi Akibat Bencana Tsunami Berdasarkan Usia, Jenis Kelamin dan Kab/Kota**",Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Penyediaan Logistik Penyelamatan Dan Evakuasi Korban Bencana Provinsi**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Respon Cepat Penanganan Darurat Bencana Provinsi**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Jumlah Sistem Peringatan Dini Berdasarkan Jenis Bencana dan Kab/Kota**,Tahunan,Maret n+1,*,***
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Nilai Indeks Bahaya/Ancaman Bencana**,Tahunan,Maret n+1,poin,Provinsi
Badan Penanggulangan Bencana Daerah,Indeks Risiko Bencana,Nilai Indeks Kapasitas,Tahunan,Maret n+1,poin,Provinsi
